CD_REFNIS,TX_DESCR_NL,TX_DESCR_FR,AREA,POP
42026,Wichelen,Wichelen,2319.164338,11672
42028,Zele,Zele,3329.764489,21125
43002,Assenede,Assenede,8749.878363,14256
43005,Eeklo,Eeklo,3044.907842,21134
43007,Kaprijke,Kaprijke,3364.189229,6434
43010,Maldegem,Maldegem,9563.303581,23774
43014,Sint-Laureins,Sint-Laureins,7453.545348,6783
43018,Zelzate,Zelzate,1376.106329,12854
44012,De Pinte,De Pinte,1778.143397,10683
44013,Destelbergen,Destelbergen,2671.02617,18271
44019,Evergem,Evergem,7539.671395,35447
44020,Gavere,Gavere,3159.610998,12805
44021,Gent,Gand,15774.26461,262219
44034,Lochristi,Lochristi,6066.411371,22489
44040,Melle,Melle,1533.868545,11736
44043,Merelbeke,Merelbeke,3700.131976,24660
44045,Moerbeke (Gent),Moerbeke (Gand),3789.741664,6481
44048,Nazareth,Nazareth,3543.492903,11619
44052,Oosterzele,Oosterzele,4356.878996,13590
44064,Sint-Martens-Latem,Sint-Martens-Latem,1445.183993,8392
44073,Wachtebeke,Wachtebeke,3463.676558,7771
44081,Zulte,Zulte,3276.093118,15720
44083,Deinze,Deinze,12802.7315,43571
44084,Aalter,Aalter,11985.26056,28906
44085,Lievegem,Lievegem,8078.117619,26162
45035,Oudenaarde,Audenarde,6893.462617,31393
45041,Ronse,Renaix,3470.840015,26479
45059,Brakel,Brakel,5696.236426,14801
45060,Kluisbergen,Kluisbergen,3063.052648,6488
45061,Wortegem-Petegem,Wortegem-Petegem,4245.878776,6397
45062,Horebeke,Horebeke,1124.686174,2036
45063,Lierde,Lierde,2631.938207,6616
45064,Maarkedal,Maarkedal,4615.293274,6343
45065,Zwalm,Zwalin,3387.779182,8148
45068,Kruisem,Kruisem,7158.922894,15641
46003,Beveren (Sint-Niklaas),Beveren (Saint-Nicolas),15269.84742,48668
46013,Kruibeke,Kruibeke,3350.345881,16745
46014,Lokeren,Lokeren,6828.675282,41690
46020,Sint-Gillis-Waas,Sint-Gillis-Waas,5548.262772,19370
46021,Sint-Niklaas (Sint-Niklaas),Saint-Nicolas (Saint-Nicolas),8402.377402,77679
46024,Stekene,Stekene,4526.679132,18445
46025,Temse,Tamise,4028.744505,29926
51004,Aat,Ath,12790.46397,29311
51008,Beloeil,Beloeil,6227.315398,14068
51009,Bernissart,Bernissart,4380.582964,11859
51012,Brugelette,Brugelette,2857.903761,3728
51014,Chièvres,Chièvres,4735.330501,6916
51017,Elzele,Ellezelles,4510.560049,5975
51019,Vloesberg,Flobecq,2328.132786,3447
51065,Frasnes-lez-Anvaing,Frasnes-lez-Anvaing,11287.39057,11814
51067,Edingen,Enghien,3940.329495,13817
51068,Opzullik,Silly,6857.477727,8324
51069,Lessen,Lessines,7266.771685,18656
52010,Chapelle-lez-Herlaimont,Chapelle-lez-Herlaimont,1818.959049,14737
52011,Charleroi,Charleroi,10294.84934,202267
52012,Châtelet,Châtelet,2736.016852,35903
52015,Courcelles,Courcelles,4453.261989,31299
52018,Farciennes,Farciennes,1036.813037,11316
52021,Fleurus,Fleurus,5949.560355,22918
52022,Fontaine-l’Evêque,Fontaine-l’Evêque,2864.875178,17806
52025,Gerpinnes,Gerpinnes,4767.589685,12716
52048,Montigny-le-Tilleul,Montigny-le-Tilleul,1523.433452,10112
52055,Pont-à-Celles,Pont-à-Celles,5610.153291,17371
52074,Aiseau-Presles,Aiseau-Presles,2242.480022,10743
52075,Les Bons Villers,Les Bons Villers,4296.742446,9451
53014,Boussu,Boussu,2012.038915,19824
53020,Dour,Dour,3362.125328,16644
53028,Frameries,Frameries,2610.749737,21934
53039,Hensies,Hensies,2640.240607,6828
53044,Jurbeke,Jurbise,5819.816994,10383
53046,Lens,Lens,4982.781111,4525
53053,Bergen,Mons,14755.83771,95613
53065,Quaregnon,Quaregnon,1118.791672,19007
53068,Quiévrain,Quiévrain,2147.896699,6822
53070,Saint-Ghislain,Saint-Ghislain,7056.996191,23311
53082,Colfontaine,Colfontaine,1374.434779,20811
53083,Honnelles,Honnelles,4431.299308,5159
53084,Quévy,Quévy,6539.388534,8138
55004,’s Gravenbrakel,Braine-le-Comte,8486.752568,21901
55035,Le Roeulx,Le Roeulx,4341.274768,8716
55040,Zinnik,Soignies,11126.69662,28016
55050,Ecaussinnes,Ecaussinnes,3486.003903,11159
55085,Seneffe,Seneffe,6381.722701,11433
55086,Manage,Manage,1939.678469,23308
56001,Anderlues,Anderlues,1718.156067,12261
56005,Beaumont,Beaumont,9348.718201,7124
56016,Chimay,Chimay,19857.16266,9805
56022,Erquelinnes,Erquelinnes,4454.836319,10003
56029,Froidchapelle,Froidchapelle,8654.331862,3959
56044,Lobbes,Lobbes,3220.076738,5832
56049,Merbes-le-Château,Merbes-le-Château,3053.055229,4266
56051,Momignies,Momignies,8600.550802,5305
56078,Thuin,Thuin,7668.921909,14702
56086,Ham-sur-Heure-Nalinnes,Ham-sur-Heure-Nalinnes,4569.896504,13623
56088,Sivry-Rance,Sivry-Rance,7357.25696,4798
57003,Antoing,Antoing,3136.355626,7687
57018,Celles (Doornik),Celles (Tournai),6748.233331,5666
57027,Estaimpuis,Estaimpuis,3210.089711,10478
57062,Pecq,Pecq,3314.270837,5698
57064,Péruwelz,Péruwelz,6102.801936,17159
57072,Rumes,Rumes,2398.969285,5167
57081,Doornik,Tournai,21534.14697,69370
57093,Brunehaut,Brunehaut,4656.331784,8080
57094,Leuze-en-Hainaut,Leuze-en-Hainaut,7446.513929,13850
57095,Mont-de-l’Enclus,Mont-de-l’Enclus,2715.869623,3764
57096,Moeskroen,Mouscron,4061.958662,58474
57097,Komen-Waasten,Comines-Warneton,6137.251287,18024
58001,La Louvière,La Louvière,6455.836335,80757
58002,Binche,Binche,6123.360891,33473
58003,Estinnes,Estinnes,7329.310545,7765
58004,Morlanwelz,Morlanwelz,2037.438614,19065
61003,Amay,Amay,2768.593461,14412
61010,Burdinne,Burdinne,3261.10078,3238
61012,Clavier,Clavier,7949.603767,4637
61019,Ferrières,Ferrières,5707.294103,4935
61024,Hamoir,Hamoir,2774.144063,3880
61028,Héron,Héron,3839.876009,5375
61031,Hoei,Huy,4764.136266,21227
61039,Marchin,Marchin,3014.97992,5469
61041,Modave,Modave,4040.836594,4212
61043,Nandrin,Nandrin,3612.266481,5753
61048,Ouffet,Ouffet,4024.12926,2776
61063,Verlaine,Verlaine,2440.030307,4228
61068,Villers-Le-Bouillet,Villers-Le-Bouillet,3285.845575,6496
61072,Wanze,Wanze,4405.269198,13738
61079,Anthisnes,Anthisnes,3731.673695,4189
61080,Engis,Engis,2774.451061,6138
61081,Tinlot,Tinlot,3725.208217,2706
62003,Ans,Ans,2334.624628,28373
62006,Awans,Awans,2721.770243,9318
62009,Aywaille,Aywaille,7994.131358,12436
62011,Bitsingen,Bassenge,3821.313267,8905
62015,Beyne-Heusay,Beyne-Heusay,728.8138292,11929
62022,Chaudfontaine,Chaudfontaine,2543.311305,20800
62026,Comblain-au-Pont,Comblain-au-Pont,2258.623688,5404
62027,Dalhem,Dalhem,3611.093268,7408
62032,Esneux,Esneux,3416.079243,12917
62038,Fléron,Fléron,1368.67163,16526
62051,Herstal,Herstal,2340.791331,39989
62060,Juprelle,Juprelle,3547.036229,9295
62063,Luik,Liège,6857.145104,197327
62079,Oupeye,Oupeye,3629.654095,25446
62093,Saint-Nicolas (Luik),Saint-Nicolas (Liège),689.5733576,24263
62096,Seraing,Seraing,3526.115547,64259
62099,Soumagne,Soumagne,2719.139349,16925
62100,Sprimont,Sprimont,7453.483259,14712
62108,Wezet,Visé,2751.740807,17812
62118,Grâce-Hollogne,Grâce-Hollogne,3416.468399,22660
62119,Blegny,Blegny,2607.110445,13292
62120,Flémalle,Flémalle,3658.23327,26304
62121,Neupré,Neupré,3175.371507,9923
62122,Trooz,Trooz,2426.367892,8199
63001,Amel,Amblève,12593.5835,5474
63003,Aubel,Aubel,1883.367794,4288
63004,Baelen,Baelen,8555.332457,4454
63012,Büllingen,Bullange,15066.15925,5478
63013,Bütgenbach,Butgenbach,9700.621723,5610
63020,Dison,Dison,1397.687845,15248
63023,Eupen,Eupen,9599.14621,19677
63035,Herve,Herve,5685.989363,17609
63038,Jalhay,Jalhay,10694.18928,8585
63040,Kelmis,La Calamine,1800.576856,11108
63045,Lierneux,Lierneux,9229.91835,3614
63046,Limburg,Limbourg,2464.700158,5912
63048,Lontzen,Lontzen,2871.350922,5764
63049,Malmedy,Malmedy,10038.91651,12741
63057,Olne,Olne,1602.532582,4080
63058,Pepinster,Pepinster,2488.604702,9772
63061,Raeren,Raeren,7280.365875,10759
63067,Sankt Vith,Saint-Vith,14714.65051,9722
63072,Spa,Spa,3983.023039,10229
63073,Stavelot,Stavelot,8512.107641,7169
63075,Stoumont,Stoumont,10855.99821,3167
63076,Theux,Theux,8348.103709,12031
63079,Verviers,Verviers,3300.090677,55207
63080,Weismes,Waimes,9753.796682,7425
63084,Welkenraedt,Welkenraedt,2481.582439,10002
63086,Trois-Ponts,Trois-Ponts,6884.708994,2553
63087,Burg-Reuland,Burg-Reuland,10982.7158,3935
63088,Plombières,Plombières,5319.447494,10459
63089,Thimister-Clermont,Thimister-Clermont,2864.583612,5700
64008,Berloz,Berloz,1450.726454,3132
64015,Braives,Braives,4404.002485,6375
64021,Crisnée,Crisnée,1697.690309,3412
64023,Donceel,Donceel,2345.021736,3060
64025,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,1944.067799,3233
64029,Geer,Geer,2360.503538,3485
64034,Hannuit,Hannut,8649.071306,16571
64047,Lijsem,Lincent,1473.299447,3311
64056,Oerle,Oreye,1949.801874,3895
64063,Remicourt,Remicourt,2282.612924,5906
64065,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse,2091.169308,6803
64074,Borgworm,Waremme,3089.3529,15334
64075,Wasseiges,Wasseiges,2448.10414,2937
64076,Faimes,Faimes,2852.67424,3935
71002,As,As,2212.267454,8202
71004,Beringen,Beringen,7856.136894,46346
71011,Diepenbeek,Diepenbeek,4140.82414,19031
71016,Genk,Genk,8758.403262,66227
71017,Gingelom,Gingelom,5634.208763,8405
71020,Halen,Halen,3659.792541,9427
71022,Hasselt,Hasselt,10269.13635,78296
71024,Herk-de-Stad,Herck-la-Ville,4303.719665,12636
71034,Leopoldsburg,Bourg-Léopold,2259.139924,15755
71037,Lummen,Lummen,5370.185431,14890
71045,Nieuwerkerken (Hasselt),Nieuwerkerken (Hasselt),2250.722172,6947
71053,Sint-Truiden,Saint-Trond,10711.80243,40590
71057,Tessenderlo,Tessenderlo,5162.447332,18613
71066,Zonhoven,Zonhoven,3969.04553,21237
71067,Zutendaal,Zutendaal,3210.495616,7289
71069,Ham,Ham,3279.943217,10897
71070,Heusden-Zolder,Heusden-Zolder,5339.330768,33708
72003,Bocholt,Bocholt,5928.437775,13110
72004,Bree,Bree,6498.464146,16085
72018,Kinrooi,Kinrooi,5480.123599,12174
72020,Lommel,Lommel,10227.35688,34079
72021,Maaseik,Maaseik,7718.759497,25317
72030,Peer,Peer,8723.84072,16357
72037,Hamont-Achel,Hamont-Achel,4372.944625,14369
72038,Hechtel-Eksel,Hechtel-Eksel,7667.641486,12419
72039,Houthalen-Helchteren,Houthalen-Helchteren,7820.416038,30655
72041,Dilsen-Stokkem,Dilsen-Stokkem,6588.515265,20590
72042,Oudsbergen,Oudsbergen,11636.73713,23532
72043,Pelt,Pelt,8377.790426,32902
73001,Alken,Alken,2823.588106,11499
73006,Bilzen,Bilzen,7597.811458,32328
73009,Borgloon,Looz,5132.652673,10906
73022,Heers,Heers,5305.961761,7391
73028,Herstappe,Herstappe,133.3043285,83
73032,Hoeselt,Hoeselt,3010.313976,9688
73040,Kortessem,Kortessem,3398.88994,8442
73042,Lanaken,Lanaken,5895.984939,25841
73066,Riemst,Riemst,5805.402708,16755
73083,Tongeren,Tongres,8782.409947,30996
73098,Wellen,Wellen,2680.043617,7372
73107,Maasmechelen,Maasmechelen,7685.255904,38516
73109,Voeren,Fourons,5060.837316,4146
81001,Aarlen,Arlon,11906.26142,29858
81003,Attert,Attert,7108.411167,5578
81004,Aubange,Aubange,4611.631166,17093
81013,Martelange,Martelange,3003.678042,1876
